carat,x,y,z,price,labcol,labcut,labclar
0.3,4.29,4.31,2.7,605,2,4,5
0.34,4.46,4.49,2.8,565,1,2,2
0.4,4.7,4.75,2.85,720,0,4,2
0.4,4.72,4.74,2.92,793,4,3,4
0.9,6.1,6.13,3.73,4381,0,4,2
0.6,5.39,5.44,3.34,2263,0,2,2
0.32,4.37,4.41,2.77,524,1,1,2
0.3,4.4,4.36,2.63,844,1,3,5
0.52,5.19,5.16,3.23,1577,3,3,5
0.41,4.74,4.78,2.94,705,1,4,2
0.31,4.34,4.37,2.69,429,3,2,3
0.31,4.32,4.35,2.68,625,3,3,4
0.7,5.59,5.55,3.65,1865,4,0,2
0.75,5.9,5.94,3.61,2216,3,3,3
1.14,6.72,6.75,4.14,7079,4,2,2
0.8,5.87,5.9,3.75,3460,2,4,4
2.01,8.11,8.08,5.03,14725,4,2,2
1.21,6.85,6.89,4.21,8950,4,2,7
0.9,6.0,5.96,3.83,2873,6,1,2
1.51,7.51,7.57,4.53,14889,1,4,5
0.3,4.32,4.36,2.65,605,4,2,7
0.52,5.16,5.19,3.21,2230,1,2,7
0.58,5.31,5.36,3.28,1424,1,4,2
0.72,5.71,5.75,3.59,2584,2,3,5
0.4,4.75,4.77,2.96,1263,0,4,7
1.24,7.16,7.02,4.11,9930,2,3,4
0.25,4.1,4.14,2.47,575,1,4,6
0.4,4.75,4.8,2.94,842,2,3,5
0.6,5.49,5.44,3.35,1890,1,2,2
0.7,5.69,5.65,3.47,2536,5,3,6
0.63,5.51,5.31,3.45,1105,3,4,3
1.2,6.74,6.77,4.23,5476,5,4,2
1.12,6.65,6.61,4.16,4064,6,3,2
0.4,4.74,4.69,2.9,1200,3,3,6
0.31,4.36,4.34,2.69,872,1,2,5
1.51,7.33,7.43,4.44,8444,4,4,3
0.5,5.16,5.12,3.12,1654,2,3,5
0.27,4.16,4.17,2.55,606,1,4,7
0.79,5.94,5.9,3.68,2555,2,3,3
0.33,4.46,4.42,2.71,743,5,3,7
0.75,5.81,5.85,3.62,2278,1,2,3
1.24,6.91,6.94,4.24,7358,4,3,4
0.59,5.46,5.35,3.38,1942,3,4,4
0.33,4.47,4.49,2.69,463,1,4,3
0.3,4.27,4.24,2.68,765,5,2,7
1.54,7.42,7.35,4.57,12978,2,2,5
1.06,6.46,6.51,4.11,9680,1,4,7
0.51,5.07,5.1,3.2,1970,1,4,4
0.9,6.15,6.19,3.85,3569,2,4,3
0.7,5.67,5.7,3.56,2726,0,4,2
0.31,4.4,4.36,2.66,749,2,3,5
0.61,5.4,5.44,3.32,1793,1,1,2
1.04,6.43,6.47,4.04,4890,4,3,2
1.54,7.58,7.54,4.48,11795,1,3,2
0.53,5.14,5.18,3.22,1783,0,3,5
1.05,6.47,6.44,4.08,4986,5,4,5
1.02,6.4,6.34,3.98,5998,0,3,2
0.7,5.61,5.58,3.57,2919,2,1,4
0.49,5.17,5.21,3.05,1430,2,1,4
0.42,4.78,4.82,2.96,1142,2,3,7
0.34,4.46,4.45,2.82,628,4,4,2
0.77,5.88,5.91,3.67,2689,1,2,3
1.01,6.41,6.37,3.95,4965,4,3,2
0.92,6.13,6.16,3.92,3724,3,4,2
0.4,4.66,4.69,2.98,687,1,1,2
1.01,6.29,6.41,3.95,7303,0,1,4
0.32,4.41,4.36,2.72,576,1,2,3
0.5,5.14,5.11,3.06,1746,3,3,4
0.72,5.76,5.75,3.5,2782,0,2,2
0.34,4.48,4.47,2.77,1084,3,2,1
1.2,6.84,6.79,4.2,7688,3,2,7
0.42,4.86,4.82,2.95,1055,3,2,4
0.72,5.73,5.78,3.55,2650,5,2,5
1.0,6.39,6.35,3.96,4586,2,3,2
0.7,5.7,5.63,3.49,2285,3,3,2
1.7,7.63,7.57,4.68,9139,1,2,3
1.01,6.34,6.39,4.05,6449,3,4,5
0.77,5.84,5.9,3.63,3721,0,2,5
0.3,4.33,4.34,2.67,1041,2,2,6
1.02,6.59,6.54,3.91,4478,1,3,3
1.06,6.57,6.53,4.03,5113,3,3,2
0.42,4.85,4.8,2.94,1103,2,3,4
0.7,5.6,5.63,3.56,3107,1,4,4
1.19,6.9,6.97,4.02,5956,1,4,2
0.7,5.77,5.74,3.48,2777,1,3,2
1.53,7.31,7.39,4.47,15619,2,1,4
1.02,6.54,6.51,3.91,5079,4,2,2
0.97,6.31,6.35,3.92,4063,2,3,3
0.36,4.55,4.59,2.79,600,2,3,2
1.22,6.85,6.88,4.23,7850,3,3,4
